Exp_time,Van,OC6,FP1_emit1
6.689922222,0,0,0.037559002
6.706608333,0,0,0.036984627
6.723288889,0,0,0.036905966
6.739969444,0,0,0.037737105
6.756647222,0,0,0.037111011
6.773330556,0,0,0.037797699
6.790013889,0,0,0.03690631
6.806694444,0,0,0.036882223
6.823375,0,0,0.036711352
6.840055556,0,0,0.036892255
6.856733333,0,0,0.037606279
6.873413889,0,0,0.036987522
6.890091667,0,0,0.037619699
6.906772222,0,0,0.037597656
6.92345,0,0,0.037922221
6.940133333,0,0,0.037701613
6.956813889,0,0,0.038148072
6.973491667,0,0,0.038206439
6.990172222,0,0,0.036580837
7.006855556,0,0,0.037093303
7.023533333,0,0,0.037378895
7.040233333,0,0,0.037390917
7.056913889,0,0,0.03690966
7.073597222,0,0,0.037000735
7.090291667,0,0,0.036849181
7.106966667,0,0,0.036700649
7.123647222,0,0,0.037824256
7.140327778,0,0,0.037929837
7.157005556,0,0,0.037465126
7.173683333,0,0,0.036732629
7.190375,0,0,0.037891156
7.207063889,0,0,0.037342261
7.223741667,0,0,0.036780317
7.240422222,0,0,0.037328348
7.257102778,0,0,0.036989386
7.273816667,0,0,0.037542013
7.290519444,0,0,0.036677909
7.3072,0,0,0.037043796
7.323883333,0,0,0.03688824
7.340583333,0,0,0.037023163
7.357261111,0,0,0.03731771
7.373936111,0,0,0.038630057
7.390616667,0,0,0.037912358
7.407294444,0,0,0.037675433
7.423997222,0,0,0.037562438
7.440675,0,0,0.037218603
7.457352778,0,0,0.036243822
7.474036111,0,0,0.037906381
7.490727778,0,0,0.037298708
7.507408333,0,0,0.036945972
7.524086111,0,0,0.0378
7.540763889,0,0,0.037446482
7.557444444,0,0,0.036959339
7.574136111,0,0,0.037567442
7.590813889,0,0,0.038164726
7.607491667,0,0,0.038239692
7.624166667,0,0,0.037943782
7.640844444,0,0,0.037946583
7.657522222,0,0,0.037636228
7.674236111,0,0,0.038329479
7.690922222,0,0,0.037714209
7.7076,0,0,0.036860199
7.724280556,0,0,0.038034973
7.740961111,0,0,0.037305159
7.757663889,0,0,0.037023045
7.774358333,0,0,0.036900599
7.791080556,0,0,0.037350789
7.807763889,0,0,0.037104585
7.82445,0,0,0.037069396
7.841125,0,0,0.037761114
7.857805556,0,0,0.037946737
7.874483333,0,0,0.038049265
7.891163889,0,0,0.037749088
7.907841667,0,0,0.037817171
7.924519444,0,0,0.037270376
7.9412,0,0,0.037343853
7.957880556,0,0,0.036859282
7.974558333,0,0,0.037629413
7.991238889,0,0,0.038348083
8.007919444,0,0,0.036604313
8.024608333,0,0,0.038075482
8.041291667,0,0,0.037875258
8.057975,0,0,0.036427383
8.074652778,0,0,0.0373989
8.091336111,0,0,0.037020769
8.108022222,0,0,0.037159424
8.124702778,0,0,0.037078373
8.141380556,0,0,0.037622469
8.158058333,0,0,0.037853829
8.174744444,0,0,0.037454903
8.191422222,0,0,0.037613141
8.208102778,0,0,0.038111251
8.224777778,0,0,0.037278535
8.241458333,0,0,0.03745541
8.258138889,0,0,0.037894877
8.274819444,0,0,0.037239451
8.2915,0,0,0.037055521
8.308183333,0,0,0.037297088
8.324877778,0,0,0.037249826
8.341555556,0,0,0.036576577
8.358236111,0,0,0.036179028
8.374913889,0,0,0.036635248
8.391588889,0,0,0.037529961
8.408283333,0,0,0.037183242
8.424975,0,0,0.037422991
8.441663889,0,0,0.037742335
8.458347222,0,0,0.037711578
8.475027778,0,0,0.037235432
8.491708333,0,0,0.037204204
8.508391667,0,0,0.037448079
8.525066667,0,0,0.037309546
8.541744444,0,0,0.037022973
8.558425,0,0,0.036300409
8.575105556,0,0,0.037746958
8.591786111,0,0,0.037039354
8.608463889,0,0,0.037228672
8.625141667,0,0,0.036937869
8.641822222,0,0,0.037197177
8.6585,0,0,0.037946737
8.675177778,0,0,0.037404478
8.691855556,0,0,0.038008045
8.708530556,0,0,0.03820287
8.725213889,0,0,0.03725792
8.741894444,0,0,0.037904427
8.758575,0,0,0.036768416
8.77525,0,0,0.03703939
8.791930556,0,0,0.036848073
8.808616667,0,0,0.03672212
8.825294444,0,0,0.036925349
8.841983333,0,0,0.037593028
8.858658333,0,0,0.03679032
8.875338889,0,0,0.036398
8.892016667,0,0,0.037553157
8.908697222,0,0,0.037977339
8.925375,0,0,0.038117219
8.942052778,0,0,0.03832259
8.958733333,0,0,0.037748433
8.975433333,0,0,0.038080836
8.992113889,0,0,0.037671233
9.008794444,0,0,0.037997957
9.025472222,0,0,0.037570363
9.042152778,0,0,0.037653587
9.058836111,0,0,0.037020658
9.075513889,0,0,0.036600344
9.092197222,0,0,0.036473257
9.108891667,0,0,0.036451128
9.125572222,0,0,0.036822164
9.142255556,0,0,0.037109008
9.158947222,0,0,0.03694949
9.175627778,0,0,0.037145401
9.192302778,0,0,0.038481272
9.208977778,0,0,0.038033526
9.225655556,0,0,0.038592673
9.242336111,0,0,0.03775139
9.259041667,0,0,0.03722314
9.275719444,0,0,0.037707077
9.292402778,0,0,0.037583097
9.309083333,0,0,0.037025215
9.325769444,0,0,0.03681523
9.34245,0,0,0.036656709
9.359138889,0,0,0.036753351
9.375819444,0,0,0.036827891
9.3925,0,0,0.037062203
9.409188889,0,0,0.037115325
9.425869444,0,0,0.03669056
9.44255,0,0,0.037142857
9.459225,0,0,0.037574722
9.475919444,0,0,0.038320537
9.492608333,0,0,0.038072289
9.509288889,0,0,0.036336762
9.525977778,0,0,0.037397507
9.542658333,0,0,0.037083754
9.559338889,0,0,0.037985747
9.576019444,0,0,0.03729891
9.592694444,0,0,0.03798995
9.609372222,0,0,0.037405063
9.626061111,0,0,0.036872884
9.642736111,0,0,0.037169011
9.659416667,0,0,0.036812847
9.676097222,0,0,0.037335429
9.692783333,0,0,0.038083798
9.709475,0,0,0.038109223
9.726152778,0,0,0.037430684
9.742833333,0,0,0.03751234
9.759519444,0,0,0.037997957
9.776208333,0,0,0.036819036
9.792891667,0,0,0.037172339
9.809572222,0,0,0.037495903
9.826255556,0,0,0.036956791
9.842936111,0,0,0.036584636
9.859611111,0,0,0.037278069
9.876294444,0,0,0.037087235
9.892972222,0,0,0.037454615
9.90965,0,0,0.037780803
9.926344444,0,0,0.037423608
9.943019444,0,0,0.038240786
9.959716667,0,0,0.037463008
9.976397222,0,0,0.036771821
9.993075,0,0,0.037003956
10.00975556,0,0,0.037158681
10.02643333,0,0,0.037368524
10.04311389,0,0,0.036995446
10.05979167,0,0,0.037479595
10.076475,0,0,0.037393368
10.09315278,0,0,0.036556816
10.10984444,0,0,0.03710913
10.12652222,0,0,0.037513534
10.14320556,0,0,0.036407767
10.15988333,0,0,0.037627097
10.17656389,0,0,0.037378865
10.19323889,0,0,0.037722717
10.20992222,0,0,0.038037065
10.2266,0,0,0.038354254
10.24328056,0,0,0.03743459
10.25996111,0,0,0.037581482
10.27663889,0,0,0.037512471
10.29331944,0,0,0.037474568
10.31000278,0,0,0.038098495
10.32668333,0,0,0.037930805
10.34336389,0,0,0.037644852
10.360075,0,0,0.037203701
10.37675556,0,0,0.037941823
10.39343333,0,0,0.037179406
10.41011389,0,0,0.037814587
10.42679167,0,0,0.036787689
10.44346944,0,0,0.037565352
10.46015,0,0,0.03790107
10.47683333,0,0,0.03736395
10.49350833,0,0,0.03815844
10.51018889,0,0,0.038440189
10.52686667,0,0,0.03745294
10.54354444,0,0,0.038111413
10.560225,0,0,0.036213697
10.57690833,0,0,0.037597911
10.59358889,0,0,0.036726844
10.61026944,0,0,0.036810566
10.62694722,0,0,0.037027833
10.643625,0,0,0.03634049
10.66030278,0,0,0.03728899
10.67698056,0,0,0.037665036
10.69365556,0,0,0.038075728
10.71033333,0,0,0.037829629
10.72701389,0,0,0.037340018
10.74369167,0,0,0.037089596
10.76037222,0,0,0.037916347
10.77705,0,0,0.037632615
10.79375,0,0,0.037942035
10.81043889,0,0,0.037766617
10.82712222,0,0,0.037055805
10.84380278,0,0,0.036289587
10.86048333,0,0,0.036797337
10.87716389,0,0,0.0368125
10.89384444,0,0,0.037023659
10.91052222,0,0,0.036406068
10.9272,0,0,0.037453886
10.94387778,0,0,0.037476125
10.96056667,0,0,0.037925112
10.97724167,0,0,0.038744589
10.99394167,0,0,0.038152196
11.01064722,0,0,0.03756468
11.02732778,0,0,0.037932215
