exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,LED_395nm_setpoint,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate
1501.73,0.04748177751069143,0.5,8450.0,37.0,0.1651499999999462,32.0,33.8125,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7716.0,0.048859512700881284,0.01918092275790565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.6942232529172276
1561.76,0.048336470478423516,0.5,8450.0,37.0,0.14334999999994927,32.0,33.8125,37.05000000000001,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7705.0,0.048799480856586634,0.01881894873458793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.7130331463159956
1621.81,0.0494476580321137,0.5,8450.0,37.0,0.11564999999994263,32.0,33.8125,37.09000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7734.0,0.04874579777605379,0.01874838376002069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.745566504589151
1681.88,0.04517108435019659,0.5,8450.0,37.0,0.13764999999994762,32.0625,33.8125,36.81,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7700.0,0.048701298701298704,0.01883116883116883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4369155555623494
1741.92,0.04306710084848381,0.5,8450.0,37.0,0.17674999999993876,32.0625,33.875,36.950000000000045,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7729.0,0.04890671496959503,0.018501746668391772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.27197646445593937
1801.98,0.04269234899137106,0.5,8450.0,37.0,0.16144999999993678,32.0625,33.8125,36.89000000000004,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7702.0,0.04894832511036094,0.018696442482472084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.23215865943063546
1862.05,0.04615097712806398,0.5,8450.0,37.0,0.1832499999999462,32.0,33.75,36.710000000000036,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7763.0,0.048821331959294084,0.018935978358881875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.4542459563010034
1922.12,0.04294258982349344,0.5,8450.0,37.0,0.20184999999994604,31.9375,33.75,36.81,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7773.0,0.04837257172262961,0.019040267592949956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.2153715674215277
1982.16,0.04439379741438252,0.5,8450.0,37.0,0.13354999999993283,32.0,33.75,37.09000000000003,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7772.0,0.048636129696345856,0.018656716417910446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.3043099647391063
2042.24,0.04059670211197042,0.5,8450.0,37.0,0.15444999999994224,32.0,33.6875,36.85000000000002,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.0,7798.0,0.04847396768402154,0.01833803539369069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.020855684704138233
