exp_time,od_measured,od_setpoint,od_zero_setpoint,thermostat_setpoint,heating_rate,internal_air_temp,external_air_temp,media_temp,opt_gen_act_int,pump_1_rate,pump_2_rate,pump_3_rate,pump_4_rate,media_vol,stirring_rate,OC6 (nM),IPTG (uM),,LED_457nm_setpoint,LED_500nm_setpoint,LED_523nm_setpoint,LED_595nm_setpoint,LED_623nm_setpoint,LED_6500K_setpoint,laser_setpoint,LED_UV_int,FP1_base,FP1_emit1,FP1_emit2,FP2_base,FP2_emit1,Background,Background Corrected,Post Induction Average,Normalised FP2,FP2 Moving Average,mScarlet Signal (AU),FP2_emit2,FP3_base,FP3_emit1,FP3_emit2,custom_prog_param1,custom_prog_param2,custom_prog_param3,custom_prog_status,zigzag_target,growth_rate,,,OC6 (nM),IPTG (uM)
0.55,0.003285992,0.5,7290,37,0.198,32.1875,33.875,37.03,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9296,0.0392642,0.015920826,4019,0.049514805,,-0.000257949,,-0.002098141,-0.000486804,0,0.036327445,3844,0.023152966,0,0,0,0,0,5,1.794649891,2.764868536,0.000768019,0,0
0.57,0.006666238,0.5,7290,37,0.1956,32.1875,33.875,36.85,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9278,0.039232593,0.015951714,4060,0.049753695,,-1.91E-05,,-0.000155022,-0.000567248,0,0.036206897,3879,0.023201856,0,0,0,0,0,5,3.827078153,2.738334835,0.000760649,0,0
0.58,0.006393344,0.5,7290,37,0.1697,32.25,33.875,36.95,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9281,0.039219912,0.016162052,4080,0.049754902,,-1.79E-05,,-0.000145201,-0.000684974,0,0.03627451,3877,0.023471757,0,0,0,0,0,5,3.510329614,2.868751899,0.000796876,0,0
0.6,0.004690732,0.5,7290,37,0.2141,32.25,33.875,36.95,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9254,0.039334342,0.016209207,4071,0.050110538,,0.000337785,,0.002747525,-0.000961823,0,0.036354704,3883,0.023177955,0,0,0,0,0,5,2.405806824,3.075741625,0.000854373,0,0
0.62,0.008211889,0.5,7290,37,0.2418,32.25,33.875,36.73,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9370,0.039060832,0.016115261,4028,0.049900695,,0.000127942,,0.001040674,-0.001147442,0,0.035998014,3869,0.023520289,0,0,0,0,0,5,3.965499303,3.282731352,0.00091187,0,0
0.63,0.013283501,0.5,7290,37,0.2248,32.1875,33.875,37.09,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9440,0.039088983,0.016313559,4101,0.050231651,,0.000458898,,0.003732652,-0.000927562,0,0.036820288,3886,0.023417396,0,0,0,0,0,5,5.210043665,3.489721078,0.000969367,0,0
0.65,0.000751257,0.5,7176,37,0.1936,32.25,33.875,36.97,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9250,0.039351351,0.015891892,4072,0.050098232,,0.000325479,,0.002647428,-0.001058362,0,0.036836935,3903,0.023571612,0,0,0,0,0,5,-3.668048731,3.766742454,0.001046317,0,0
0.67,0.066759869,0.5,7176,37,0.1697,32.25,33.8125,37.11,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,14906,0.034348584,0.014356635,6869,0.047896346,,-0.001876407,,-0.015262609,-0.00117161,0,0.035813073,7027,0.024192401,0,0,0,0,0,5,9.976682179,3.828770312,0.001063547,0,0
0.68,0.00716352,0.5,7176,37,0.2545,32.25,33.875,36.95,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9490,0.038988409,0.015806112,4151,0.049867502,,9.47E-05,,0.000770681,-0.001400035,0,0.037099494,3995,0.022778473,0,0,0,0,0,5,2.781546084,3.928494971,0.001091249,0,0
0.7,-0.003457733,0.5,7176,37,0.2195,32.25,33.8125,36.97,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9405,0.039128123,0.015842637,4079,0.049276784,,-0.00049597,,-0.004034194,-0.001469194,0,0.037018877,3925,0.023184713,0,0,0,0,0,5,2.781546084,3.463256217,0.000962016,0,0
0.72,-2.07E-05,0.5,7176,37,0.1721,32.25,33.875,36.89,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9378,0.039027511,0.015674984,4041,0.0494927,,-0.000280053,,-0.002277941,-0.001670329,0,0.036872061,3873,0.022721405,0,0,0,0,0,5,2.781546084,3.581366306,0.000994824,0,0
0.73,0.002837467,0.5,7176,37,0.2218,32.25,33.875,36.89,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9348,0.039259735,0.015939238,4090,0.049144254,,-0.000628499,,-0.005112181,-0.001719152,0,0.036919315,3892,0.023124358,0,0,0,0,0,5,2.781546084,3.803968358,0.001056658,0,0
0.75,0.004091791,0.5,7176,37,0.18,32.3125,33.8125,36.81,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9353,0.039238747,0.0158238,4078,0.049534085,,-0.000238668,,-0.001941313,-0.001861692,0,0.036047082,3870,0.023255814,0,0,0,0,0,5,3.740681999,3.908159858,0.0010856,0,0
0.77,0.007443462,0.5,7176,37,0.2103,32.25,33.9375,36.81,0,0,0,0,0,20,0.5,0,0,,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0,9471,0.039066624,0.015837821,4146,0.049686445,,-8.63E-05,,-0.000702029,-0.001847117,0,0.036420646,3929,0.02316111,0,0,0,0,0,5,5.348707905,3.937764888,0.001093824,0,0
