exp_time,od_measured,Van,OC6,IPTG,FP1_emit1,FP2_emit1,growth_rate
99873.73,0.44210433,5.5,139,0,0.052491748,0.045181927,1.22218806
99933.78,0.436858203,5.5,139,0,0.051824309,0.044978083,1.22218806
99993.83,0.456349449,5.5,139,0,0.051615385,0.044314228,1.22218806
100053.86,0.476808545,5.5,139,0,0.051421748,0.044809146,1.22218806
100113.91,0.473779196,5.5,139,0,0.050021225,0.045109858,1.141957697
100173.99,0.493117224,5.5,139,0,0.050550551,0.044636429,1.204876431
100234.04,0.479149233,5.5,139,0,0.052122834,0.044754997,1.05842814
100294.08,0.493402266,5.5,139,0,0.050043604,0.044696701,1.093444824
100354.13,0.504389061,5.5,139,0,0.050783397,0.044909091,1.104841942
100414.2,0.517133969,5.5,139,0,0.051233793,0.044961791,1.124462
100474.28,0.510392869,5.5,139,0,0.050814244,0.045260157,1.028875277
100534.34,0.516936818,5.5,139,0,0.051087403,0.045130218,1.015651209
100594.4,0.558138258,5.5,139,0,0.052304213,0.044846706,1.194926791
100654.46,0.540249743,5.5,139,0,0.050832836,0.045416031,1.194926791
100714.55,0.526198172,5.5,139,0,0.048945308,0.04526675,1.194926791
100774.58,0.523719853,5.5,139,0,0.050574236,0.045328911,1.194926791
100834.64,0.482761312,5.5,139,0,0.050532681,0.045401174,1.194926791
100894.7,0.431042681,5.5,139,0,0.051168135,0.044603524,1.194926791
100954.77,0.436110453,5.5,139,0,0.051855938,0.044444444,1.194926791
101014.86,0.455675737,5.5,139,0,0.051095444,0.044494298,1.194926791
101074.96,0.480944506,5.5,139,0,0.051418171,0.044436005,1.194926791
101135.06,0.450163816,5.5,139,0,0.051500528,0.044316339,1.194926791
101195.14,0.477098916,5.5,139,0,0.05181154,0.044760022,1.194926791
101255.21,0.482830489,5.5,139,0,0.05228415,0.045496239,1.171005841
101315.33,0.486111516,5.5,139,0,0.053638645,0.045377518,1.132772795
101375.4,0.507760727,5.5,139,0,0.050238582,0.045090909,1.206850978
101435.47,0.506459152,5.5,139,0,0.050645959,0.044548449,1.138808465
101495.52,0.499374472,5.5,139,0,0.053416242,0.045059429,1.039605801
101555.57,0.524875931,5.5,139,0,0.049815255,0.044848703,1.137042472
101615.64,0.530289445,5.5,139,0,0.050979303,0.045093795,1.11097355
101675.7,0.539110529,5.5,139,0,0.050466918,0.04516129,1.104917773
101735.78,0.543058075,5.5,139,0,0.051423388,0.044867437,1.071558843
101795.85,0.559813228,5.5,139,0,0.049970606,0.044608419,1.071558843
101855.9,0.505312984,5.5,139,0,0.051801802,0.044979635,1.071558843
101915.94,0.474601856,5.5,139,0,0.052852806,0.044809146,1.071558843
101976.01,0.436760823,5.5,139,0,0.050496812,0.044639451,1.071558843
102036.04,0.447855596,5.5,139,0,0.04921587,0.045343636,1.071558843
102096.11,0.453286152,5.5,139,0,0.051551895,0.04486692,1.071558843
102156.16,0.453129691,5.5,139,0,0.051625828,0.045152187,1.071558843
102216.2,0.477342914,5.5,139,0,0.050726257,0.04484894,1.071558843
102276.25,0.471389064,5.5,139,0,0.053507632,0.045261941,1.071558843
102336.29,0.483922747,5.5,139,0,0.051508462,0.044720727,1.09670537
102396.34,0.489863765,5.5,139,0,0.051342233,0.045316138,1.078476223
102456.37,0.493867411,5.5,139,0,0.050352113,0.045253048,1.048971697
102516.42,0.519078752,5.5,139,0,0.05009965,0.044220744,1.145888693
102576.5,0.513996007,5.5,139,0,0.049809989,0.044444444,1.059073919
102636.59,0.531757961,5.5,139,0,0.051537462,0.045115518,1.108039011
102696.66,0.545818631,5.5,139,0,0.051927616,0.045015491,1.130932009
102756.71,0.564785976,5.5,139,0,0.048277596,0.044824087,1.130932009
102816.78,0.52723097,5.5,139,0,0.050611195,0.044324324,1.130932009
102876.83,0.461106787,5.5,139,0,0.050758765,0.044436416,1.130932009
102936.87,0.409906877,5.5,139,0,0.050404904,0.044234112,1.130932009
102996.95,0.44392198,5.5,139,0,0.049878714,0.045691383,1.130932009
103057.02,0.426087663,5.5,139,0,0.050199744,0.044990177,1.130932009
103117.07,0.447117257,5.5,139,0,0.048763251,0.044855889,1.130932009
103177.14,0.463897736,5.5,139,0,0.050761421,0.04510285,1.130932009
103237.21,0.48039224,5.5,139,0,0.049054712,0.044133672,1.130932009
103297.26,0.486688788,5.5,139,0,0.050055127,0.044773358,1.113451238
103357.32,0.488979009,5.5,139,0,0.051268811,0.045038311,1.071862727
103417.42,0.496570876,5.5,139,0,0.050964584,0.044808743,1.064489575
103477.49,0.51828303,5.5,139,0,0.050678541,0.044140291,1.139650874
103537.56,0.504197115,5.5,139,0,0.052285165,0.044575273,1.000005757
103597.59,0.514602407,5.5,139,0,0.051236498,0.044329004,1.011287325
103657.64,0.546158081,5.5,139,0,0.053699009,0.044889631,1.139264604
103717.74,0.527184697,5.5,139,0,0.049960085,0.045233969,0.976228861
103777.78,0.552343826,5.5,139,0,0.049067395,0.044590391,1.067276732
103837.86,0.552442352,5.5,139,0,0.049594288,0.044708348,1.067276732
103897.9,0.529703815,5.5,139,0,0.048807725,0.044672345,1.067276732
103957.92,0.491229962,5.5,139,0,0.051370365,0.044952238,1.067276732
104017.97,0.460488233,5.5,139,0,0.052461599,0.04445695,1.067276732
104078.02,0.446361293,5.5,139,0,0.0508829,0.044246176,1.067276732
104138.08,0.444159257,5.5,139,0,0.050218179,0.044588415,1.067276732
104198.16,0.453467422,5.5,139,0,0.04976355,0.044427568,1.067276732
104258.22,0.476749636,5.5,139,0,0.050867052,0.045167286,1.067276732
104318.28,0.491397208,5.5,139,0,0.050345508,0.044832827,1.067276732
104378.32,0.487780382,5.5,139,0,0.05125448,0.044872983,1.067276732
104438.36,0.483706786,5.5,139,0,0.051052332,0.045243205,0.988753823
104498.42,0.52700392,5.5,139,0,0.051052743,0.045008037,1.196503364
104558.47,0.512091668,5.5,139,0,0.051425297,0.044557943,1.050565177
104618.52,0.517366657,5.5,139,0,0.051018309,0.045289855,1.028781447
104678.57,0.518569138,5.5,139,0,0.051237486,0.044524237,0.984306985
104738.65,0.543549075,5.5,139,0,0.050479147,0.045021645,1.076231542
104798.74,0.570322549,5.5,139,0,0.051112943,0.045084099,1.076231542
104858.8,0.527515453,5.5,139,0,0.052175827,0.044307245,1.076231542
104918.86,0.484362107,5.5,139,0,0.052182601,0.044751381,1.076231542
104978.92,0.449912845,5.5,139,0,0.049658281,0.044310928,1.076231542
105038.98,0.434539807,5.5,139,0,0.04941964,0.044315632,1.076231542
105099.03,0.474286795,5.5,139,0,0.050588586,0.045001915,1.076231542
105159.1,0.457165053,5.5,139,0,0.048134054,0.044984002,1.076231542
105219.16,0.481472574,5.5,139,0,0.049641478,0.044585987,1.076231542
105279.2,0.482540974,5.5,139,0,0.051654263,0.044435782,1.076231542
105339.24,0.487597404,5.5,139,0,0.05195861,0.044997256,1.053692675
