Time,Van,OC6,IPTG,Sponge Circuit + mutagenised mScarlet-I,Sponge Circuit + mScarlet-I,Sponge Circuit,Negative Control Sponge Circuit + mScarlet
2.39,0,0,0,0.040350069,0.040843434,0.04077961,0.04046417
2.4,0,0,0,0.039007092,0.040544872,0.040124055,0.039514112
2.42,0,0,0,0.039251365,0.040483239,0.040785948,0.038862428
2.44,0,0,0,0.040476624,0.040478454,0.040552368,0.03963219
2.45,0,0,0,0.040215924,0.040412726,0.04106756,0.039950785
2.47,0,0,0,0.040264805,0.040676863,0.040299537,0.039799571
2.49,0,0,0,0.039311828,0.0393801,0.0405604,0.038965494
2.5,0,0,0,0.03943299,0.039722096,0.04045853,0.038893691
2.52,0,0,0,0.039063153,0.040543654,0.040346654,0.03860523
2.54,0,0,0,0.038697036,0.039315617,0.040252414,0.03814072
2.55,0,0,0,0.040285205,0.04101794,0.03995498,0.038737446
2.57,0,0,0,0.038149925,0.039997026,0.039804335,0.039095337
2.59,0,0,0,0.039521058,0.039280103,0.039696106,0.039589841
2.6,0,0,0,0.039256028,0.039967313,0.039856101,0.038600802
2.62,0,0,0,0.038711229,0.039853447,0.039977477,0.039660813
2.64,0,0,0,0.038940185,0.038768292,0.040063356,0.0391222
2.65,0,0,0,0.039132562,0.039822365,0.039920911,0.038485686
2.67,0,0,0,0.039115231,0.038864898,0.039749724,0.038821954
2.69,0,0,0,0.039078969,0.039727989,0.039839896,0.03772681
2.7,0,0,0,0.038010631,0.03919365,0.039977892,0.039276889
2.72,0,0,0,0.037731765,0.039221102,0.040029652,0.037361886
2.74,0,0,0,0.038717671,0.038888889,0.039692702,0.037943769
2.75,0,0,0,0.037800437,0.038840117,0.039247312,0.03835121
2.77,0,0,0,0.038220409,0.039072039,0.03959854,0.039616347
2.79,0,0,0,0.038288637,0.038416839,0.039141754,0.039117968
2.8,0,0,0,0.039591315,0.039634996,0.039591431,0.039067855
2.82,0,0,0,0.037788447,0.038926734,0.039655172,0.03887572
2.84,0,0,0,0.038785009,0.03915253,0.039553571,0.03869694
2.85,0,0,0,0.03881746,0.040486156,0.038933891,0.038954965
2.87,0,0,0,0.03828125,0.039952904,0.039217399,0.039355145
2.89,0,0,0,0.038527665,0.039714868,0.039658273,0.038137723
2.9,0,0,0,0.037831776,0.039719266,0.038868949,0.038024231
2.92,0,0,0,0.038786911,0.038953315,0.039177962,0.038019951
2.94,0,0,0,0.038172573,0.039138507,0.039215686,0.03904901
2.95,0,0,0,0.037975635,0.038799309,0.039542052,0.038330171
2.97,0,0,0,0.037565347,0.038394171,0.039313545,0.038353074
2.99,0,0,0,0.037562482,0.03899049,0.038882242,0.037630579
3,0,0,0,0.037583688,0.039472715,0.038760345,0.037820855
3.02,0,0,0,0.038011466,0.039572113,0.039055172,0.038034112
3.04,0,0,0,0.037912793,0.038342913,0.039155075,0.038147987
3.05,0,0,0,0.037795149,0.039161336,0.039014895,0.039154586
3.07,0,0,0,0.037832979,0.039021632,0.038837449,0.03942877
3.09,0,0,0,0.038337108,0.03893457,0.038861843,0.037925301
3.1,0,0,0,0.037776746,0.039552626,0.038813165,0.03919837
3.12,0,0,0,0.037683896,0.038764881,0.038692462,0.038556728
3.14,0,0,0,0.038088365,0.039187117,0.038739112,0.03820598
3.15,0,0,0,0.037953795,0.039505977,0.038554418,0.038451529
3.17,0,0,0,0.037852453,0.039147015,0.038650911,0.038552476
3.19,0,0,0,0.037236055,0.038685304,0.038634322,0.039141839
3.2,0,0,0,0.037207575,0.039179249,0.038442783,0.038051655
3.22,0,0,0,0.037913231,0.038086358,0.037930208,0.037393356
3.24,0,0,0,0.038303579,0.038745387,0.03822314,0.038765208
3.25,0,0,0,0.037260098,0.038589488,0.03856727,0.038743725
3.27,0,0,0,0.037559442,0.037497425,0.038464614,0.038005191
3.29,0,0,0,0.039093582,0.037621443,0.038385904,0.038429567
3.3,0,0,0,0.038136296,0.03857824,0.038394965,0.038876315
3.32,0,0,0,0.037596992,0.039074019,0.03831901,0.038903808
3.34,0,0,0,0.037331891,0.038742849,0.038252656,0.038230042
3.35,0,0,0,0.038039153,0.038521566,0.03812271,0.038873813
3.37,0,0,0,0.037668799,0.037865276,0.038093012,0.037968156
3.39,0,0,0,0.037643208,0.037575184,0.037998637,0.038589185
3.4,0,0,0,0.037206117,0.038501417,0.037651611,0.039335484
3.42,0,0,0,0.037170617,0.037921157,0.037480244,0.039493601
3.44,0,0,0,0.037288388,0.038884866,0.037692834,0.038129358
3.45,0,0,0,0.036398467,0.038166846,0.037894259,0.037917657
3.47,0,0,0,0.03744113,0.038158471,0.037459891,0.038216158
3.49,0,0,0,0.038738662,0.039796086,0.037600059,0.037982565
3.5,0,0,0,0.038169214,0.038901064,0.037840263,0.037430003
3.52,0,0,0,0.037732794,0.039026741,0.037660316,0.037629913
3.54,0,0,0,0.03768764,0.038911116,0.03767776,0.039
3.55,0,0,0,0.03874915,0.038262435,0.037765717,0.040099699
3.57,0,0,0,0.037768107,0.038854003,0.037552998,0.038987306
3.59,0,0,0,0.037349303,0.038551314,0.038604726,0.039594711
3.6,0,0,0,0.037209302,0.038816295,0.039866811,0.038476927
3.62,0,0,0,0.036764164,0.038631761,0.039041096,0.037924407
3.64,0,0,0,0.038304141,0.038701068,0.03934965,0.038446372
3.65,0,0,0,0.036941072,0.038839353,0.038596199,0.03916644
3.67,0,0,0,0.036181405,0.03843051,0.039070568,0.038008362
3.69,0,0,0,0.036985294,0.038118527,0.038979626,0.038148172
3.7,0,0,0,0.038139384,0.039157316,0.038753229,0.037715984
3.72,0,0,0,0.037818536,0.038118352,0.038606798,0.037700454
3.74,0,0,0,0.038756314,0.037526536,0.038750103,0.038008766
3.75,0,0,0,0.038147376,0.037137741,0.038396249,0.037691978
3.77,0,0,0,0.037993015,0.037199707,0.038344692,0.038302545
3.79,0,0,0,0.037712596,0.038184641,0.038123402,0.039713495
3.8,0,0,0,0.037757721,0.037946737,0.038476764,0.03891187
3.82,0,0,0,0.037678126,0.038139145,0.038052821,0.038700855
3.84,0,0,0,0.037223019,0.036576818,0.03809219,0.038515641
3.85,0,0,0,0.037697277,0.036580153,0.038215542,0.039106544
3.87,0,0,0,0.037448754,0.037812604,0.038498403,0.038435558
3.89,0,0,0,0.037057435,0.037596555,0.037999841,0.03841314
3.9,0,0,0,0.037820252,0.037965767,0.038470672,0.039692702
3.92,0,0,0,0.036575353,0.038255771,0.038139243,0.038564902
3.94,0,0,0,0.036009698,0.038680941,0.038359582,0.038757077
3.95,0,0,0,0.037507798,0.03838859,0.038146718,0.039058726
3.97,0,0,0,0.036711891,0.038251366,0.037852932,0.03837143
3.99,0,0,0,0.037633988,0.038336484,0.037735849,0.038020867
4,0,0,0,0.036885854,0.037897402,0.037595678,0.037656124
4.02,0,0,0,0.037205425,0.038866336,0.038045505,0.038222166
4.04,0,0,0,0.03712169,0.038077176,0.037954784,0.039040452
4.05,0,0,0,0.038121922,0.037749442,0.038120967,0.038027295
4.07,0,0,0,0.037164598,0.03835456,0.038188345,0.037981073
4.09,0,0,0,0.03777403,0.03717447,0.037793515,0.039010989
4.1,0,0,0,0.037648993,0.037511246,0.038058633,0.038599824
4.12,0,0,0,0.037261069,0.037173476,0.037661485,0.039952996
4.14,0,0,0,0.038070205,0.038078418,0.037709701,0.038286297
4.15,0,0,0,0.037501004,0.036510644,0.037060568,0.039035836
4.17,0,0,0,0.03715005,0.038182346,0.037737216,0.038443056
4.19,0,0,0,0.037720897,0.038352273,0.037279454,0.039162681
4.2,0,0,0,0.036958976,0.038500193,0.037977446,0.038643796
4.22,0,0,0,0.036907389,0.037958215,0.038405407,0.038523382
4.24,0,0,0,0.037264223,0.038635654,0.037620103,0.038084393
4.25,0,0,0,0.036535274,0.038195489,0.039434962,0.038504501
4.27,0,0,0,0.036850673,0.038539082,0.039300203,0.037770701
4.29,0,0,0,0.037853107,0.037639878,0.038411774,0.038574698
4.3,0,0,0,0.037265094,0.038812964,0.039269018,0.037824185
4.32,0,0,0,0.03719204,0.038201089,0.039265251,0.037609948
4.34,0,0,0,0.037820618,0.037727698,0.038626256,0.036987104
4.35,0,0,0,0.037688238,0.037950664,0.038755234,0.039056743
4.37,0,0,0,0.037011388,0.037486218,0.03846466,0.039236257
4.39,0,0,0,0.036932253,0.03771058,0.038474079,0.038735984
4.4,0,0,0,0.037207488,0.037554708,0.038446231,0.038877339
4.42,0,0,0,0.036697248,0.037452917,0.03871175,0.03959325
4.44,0,0,0,0.037471818,0.037451631,0.03883418,0.038979888
4.45,0,0,0,0.036633519,0.037509377,0.038810767,0.039101154
4.47,0,0,0,0.036697925,0.037571023,0.038258165,0.038335732
4.49,0,0,0,0.037497015,0.03680642,0.038063361,0.038615813
4.5,0,0,0,0.037339744,0.038380199,0.038157792,0.037845706
4.52,0,0,0,0.037145889,0.03857362,0.037996146,0.038658593
4.54,0,0,0,0.037481006,0.037641523,0.038102584,0.037635419
4.55,0,0,0,0.03726309,0.037129746,0.038173195,0.038057659
4.57,0,0,0,0.038216561,0.03810305,0.038315341,0.037763117
4.59,0,0,0,0.037120447,0.037972791,0.038065147,0.037049942
4.6,0,0,0,0.036338652,0.03739118,0.038000607,0.037484001
4.62,0,0,0,0.036679842,0.037107183,0.037487035,0.038775646
4.64,0,0,0,0.036578847,0.038409501,0.037686761,0.038993363
4.65,0,0,0,0.036871771,0.038389302,0.037730244,0.039395261
4.67,0,0,0,0.036868457,0.037977478,0.037722056,0.039479393
4.69,0,0,0,0.035997382,0.036683786,0.038045892,0.040073801
4.7,0,0,0,0.036549598,0.038147543,0.03777121,0.038788704
4.72,0,0,0,0.036074832,0.038021994,0.037617106,0.038888889
4.74,0,0,0,0.037028394,0.038501254,0.038037081,0.038425492
4.75,0,0,0,0.0386892,0.038531692,0.037005408,0.038385044
4.77,0,0,0,0.037034094,0.038849607,0.037656904,0.038443316
4.79,0,0,0,0.037774333,0.037331566,0.038020297,0.038995906
4.8,0,0,0,0.037966215,0.038208169,0.037386493,0.038976614
4.82,0,0,0,0.038000862,0.03787937,0.03720802,0.038736672
4.84,0,0,0,0.037140971,0.037863572,0.037861589,0.037543948
4.85,0,0,0,0.037839226,0.038076923,0.037514156,0.037914087
4.87,0,0,0,0.037240829,0.037402862,0.037317621,0.03830088
4.89,0,0,0,0.037576881,0.037883299,0.0374426,0.038187536
4.9,0,0,0,0.037161891,0.036766227,0.037278912,0.038084805
4.92,0,0,0,0.036953365,0.037290286,0.037046908,0.039323881
4.94,0,0,0,0.037625214,0.03778135,0.037027206,0.038584771
4.95,0,0,0,0.037031087,0.038034983,0.037195994,0.039243667
4.97,0,0,0,0.036928079,0.037907835,3.67E-02,0.038979888
4.99,0,0,0,0.036537725,0.038155687,3.71E-02,0.038697239
5,0,0,0,0.036955532,0.037245739,3.69E-02,0.038097118
5.02,0,0,0,0.036762458,0.036395946,3.68E-02,0.038430691
